Augur il-Vec
D'Avenant Healer
Dawn Charm
Daybreak Coronet
Detainment Spell
Divine Congregation
Gaze of Justice
Ghost Tactician
Gift of Granite
Goldmeadow Lookout
Gustcloak Cavalier
Heroes Remembered
Icatian Crier
Imperial Mask
Intervention Pact
Lucent Liminid
Lumithread Field
Magus of the Disk
Magus of the Moat
Magus of the Tabernacle
Malach of the Dawn
Mantle of Leadership
Marshaling Cry
Mesa Enchantress
Mistmeadow Skulk
Patrician's Scorn
Pentarch Paladin
Pentarch Ward
Plated Pegasus
Pull from Eternity
Retether
Revered Dead
Saltskitter
Samite Censer-Bearer
Scout's Warning
Seht's Tiger
Spirit en-Dal
Spirit Loop
Tivadar of Thorn
Voidstone Gargoyle
"Braids, Conjurer Adept"
Cancel
Chronozoa
Clockspinning
Deep-Sea Kraken
Dichotomancy
Dismal Failure
Eternity Snare
Fledgling Mawcor
Fool's Demise
Frozen Aether
Maelstrom Djinn
Magus of the Bazaar
Magus of the Jar
Merfolk Thaumaturgist
Mesmeric Sliver
Moonlace
Mystic Speculation
Narcomoeba
Nix
Ophidian Eye
Ovinize
Paradox Haze
Sage of Epityr
Screeching Sliver
Second Wind
Serendib Sorcerer
Serra Sphinx
Shadow Sliver
Spellshift
Spellweaver Volute
Telekinetic Sliver
Temporal Eddy
Tidewalker
Trickbind
Truth or Tale
Unblinking Bleb
Vedalken Aethermage
Venarian Glimmer
Venser's Diffusion
Viscerid Deepwalker
Voidmage Husher
Augur of Skulls
Basal Sliver
Bitter Ordeal
Bog Serpent
Brain Gorgers
Bridge from Below
Call to the Netherworld
Circle of Affliction
Cradle to Grave
Curse of the Cabal
Cyclopean Giant
Drudge Reavers
"Endrek Sahr, Master Breeder"
Evil Eye of Urborg
Fallen Ideal
Haunting Hymn
Imp's Mischief
"Korlash, Heir to Blackblade"
Liege of the Pit
Lim-Dûl the Necromancer
Nihilith
Null Profusion
Oblivion Crown
Phantasmagorian
Plague Sliver
Pooling Venom
Snake Cult Initiation
Spitting Sliver
Stronghold Overseer
Temporal Extortion
Vampiric Link
Vampiric Sliver
Viscid Lemures
Waning Wurm
Witch's Mist
Aetherflame Wall
Aether Membrane
Blazing Blade Askari
Blood Knight
Bloodshot Trainee
Bogardan Hellkite
Bogardan Lancer
Bogardan Rager
Boldwyr Intimidator
Detritivore
Dust Corona
Emberwilde Augur
Emblem of the Warmind
Fatal Attraction
Fatal Frenzy
Firefright Mage
Flamecore Elemental
Flowstone Channeler
Flowstone Embrace
Fomori Nomad
Fortune Thief
Fury Charm
Ghitu Firebreathing
